y= 1.5
n= 0
scale= 1e+09
conc= 2e-32
salt= -0.944
0	100	141	0
2.53024	100	141	1
2.53024	100	148	0
2.6466	100	148	1
2.6466	100	72	0
2.78621	100	72	1
2.78621	100	15	0
2.84515	100	15	1
2.84515	100	157	0
2.92531	100	157	1
2.92531	100	43	0
2.93416	100	43	1
2.93416	100	102	0
4.19233	100	102	1
4.19233	100	156	0
5.00007	100	156	1
5.00007	100	24	0
5.74411	100	24	1
5.74411	100	73	0
5.77873	100	73	1
5.77873	100	53	0
6.48822	100	53	1
6.48822	100	120	0
6.51209	100	120	1
6.51209	100	133	0
6.9469	100	133	1
6.9469	100	131	0
7.48604	100	131	1
7.48604	100	19	0
7.77087	100	19	1
7.77087	100	106	0
7.84937	100	106	1
7.84937	100	126	0
8.02519	100	126	1
8.02519	100	61	0
8.28808	100	61	1
8.28808	100	123	0
8.35902	100	123	1
8.35902	100	149	0
8.69568	100	149	1
8.69568	100	150	0
8.85693	100	150	1
8.85693	100	120	0
9.30958	100	120	1
9.30958	100	91	0
9.51297	100	91	1
9.51297	100	119	0
9.52322	100	119	1
9.52322	100	159	0
9.53437	100	159	1
9.53437	100	85	0
9.95086	100	85	1
9.95086	100	70	0
10.2221	100	70	1
10.2221	100	108	0
10.2727	100	108	1
10.2727	100	118	0
11.1111	100	118	1
11.1111	100	162	0
11.218	100	162	1
11.218	100	122	0
11.4839	100	122	1
11.4839	100	41	0
11.5046	100	41	1
11.5046	100	31	0
11.5277	100	31	1
11.5277	100	78	0
11.5934	100	78	1
11.5934	100	20	0
11.7879	100	20	1
11.7879	100	15	0
11.8866	100	15	1
11.8866	100	158	0
12.034	100	158	1
12.034	100	6	0
12.2606	100	6	1
12.2606	100	137	0
12.2809	100	137	1
12.2809	100	80	0
12.7341	100	80	1
12.7341	100	93	0
13.26	100	93	1
13.26	100	139	0
13.5648	100	139	1
13.5648	100	66	0
13.829	100	66	1
13.829	100	57	0
14.0433	100	57	1
14.0433	100	49	0
14.3577	100	49	1
14.3577	100	129	0
15.147	100	129	1
15.147	100	89	0
15.2909	100	89	1
15.2909	100	120	0
15.3594	100	120	1
15.3594	100	19	0
15.4728	100	19	1
15.4728	100	42	0
16.2615	100	42	1
16.2615	100	31	0
16.4056	100	31	1
16.4056	100	26	0
16.4446	100	26	1
16.4446	100	50	0
16.9781	100	50	1
16.9781	100	126	0
17.2344	100	126	1
17.2344	100	46	0
17.3234	100	46	1
17.3234	100	107	0
17.5229	100	107	1
17.5229	100	95	0
17.754	100	95	1
17.754	100	160	0
18.2535	100	160	1
18.2535	100	115	0
18.5683	100	115	1
18.5683	100	92	0
19.7049	100	92	1
19.7049	100	92	0
21.1893	100	92	1
21.1893	100	163	0
21.193	100	163	1
21.193	100	115	0
21.2648	100	115	1
21.2648	100	13	0
22.0857	100	13	1
22.0857	100	148	0
22.1112	100	148	1
22.1112	100	81	0
22.1117	100	81	1
22.1117	100	163	0
22.3624	100	163	1
22.3624	100	136	0
22.4333	100	136	1
22.4333	100	70	0
22.7654	100	70	1
22.7654	100	121	0
23.361	100	121	1
23.361	100	0	0
23.4133	100	0	1
23.4133	100	70	0
23.5716	100	70	1
23.5716	100	66	0
23.8826	100	66	1
23.8826	100	6	0
24.3625	100	6	1
24.3625	100	6	0
24.5268	100	6	1
24.5268	100	82	0
24.9105	100	82	1
24.9105	100	30	0
26.231	100	30	1
26.231	100	78	0
26.6715	100	78	1
26.6715	100	30	0
26.8278	100	30	1
26.8278	100	63	0
26.8647	100	63	1
26.8647	100	153	0
26.9161	100	153	1
26.9161	100	139	0
27.0309	100	139	1
27.0309	100	45	0
27.8189	100	45	1
27.8189	100	75	0
28.2885	100	75	1
28.2885	100	19	0
28.4937	100	19	1
28.4937	100	129	0
28.6481	100	129	1
28.6481	100	149	0
28.7207	100	149	1
